,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.0,2.0,4.2,1.8,3.7,5.800000000000001,4.1,6.4,8.5,8.4,7.5,11.5,12.4,13.6,14.799999999999999,18.4,16.2,13.6,11.2,15.8,7.1,9.399999999999999,9.2,10.6,13.599999999999998,11.399999999999999,11.7,12.899999999999999,14.999999999999998
1,2.0,0.0,2.2,3.5999999999999996,1.7,3.8,5.8999999999999995,4.4,6.5,6.4,5.5,9.5,10.4,11.6,12.799999999999999,16.400000000000002,16.2,15.399999999999999,12.999999999999998,13.8,8.899999999999999,9.9,7.2,8.6,11.600000000000001,9.4,11.600000000000001,10.9,13.000000000000002
2,4.2,2.2,0.0,5.6,3.7,1.6,7.8999999999999995,6.4,4.300000000000001,4.2,3.3,7.3,8.2,9.4,10.6,14.900000000000002,18.2,17.4,14.999999999999998,11.600000000000001,10.899999999999999,11.899999999999999,9.2,6.4,10.100000000000001,11.399999999999999,13.599999999999998,12.899999999999999,11.500000000000002
3,1.8,3.5999999999999996,5.6,0.0,1.9,4.0,2.3,4.6,6.7,6.6,8.5,12.4,10.6,11.8,13.0,16.6,14.399999999999999,11.799999999999999,9.399999999999999,14.0,5.3,7.6,7.3999999999999995,8.8,11.8,9.6,9.899999999999999,11.1,13.200000000000001
4,3.7,1.7,3.7,1.9,0.0,2.1,4.199999999999999,2.7,4.800000000000001,4.7,6.6,10.5,8.7,9.9,11.1,14.700000000000001,14.5,13.7,11.299999999999999,12.100000000000001,7.199999999999999,8.2,5.5,6.9,9.9,7.7,9.9,9.2,11.3
5,5.8,3.8,1.6,4.0,2.1,0.0,6.3,4.800000000000001,2.7,2.6,4.5,8.4,6.6,7.800000000000001,9.0,13.3,16.6,15.8,13.4,10.0,9.3,10.3,7.6000000000000005,4.800000000000001,8.5,9.8,12.0,11.3,9.9
6,4.1,5.8999999999999995,7.899999999999999,2.3,4.199999999999999,6.299999999999999,0.0,2.8,5.6,7.8,9.7,13.600000000000001,11.8,10.7,11.899999999999999,14.8,12.1,9.5,7.1,12.8,3.0,5.3,5.6,7.699999999999999,10.0,7.8,7.6,9.3,11.4
7,6.3999999999999995,4.4,6.4,4.6,2.7,4.800000000000001,2.8,0.0,2.8,5.0,6.9,10.8,9.0,7.9,9.1,12.0,11.8,11.7,9.899999999999999,10.0,5.8,5.5,2.8,4.9,7.2,5.0,7.2,6.5,8.6
8,8.5,6.500000000000001,4.300000000000001,6.700000000000001,4.800000000000001,2.7,5.6,2.8,0.0,2.2,4.1,8.0,6.2,5.1,6.3,10.600000000000001,14.600000000000001,14.5,12.7,7.3,8.6,8.3,5.6,2.1,5.800000000000001,7.8,10.0,9.3,7.200000000000001
9,8.4,6.4,4.2,6.6,4.7,2.6,7.8,5.0,2.2,0.0,1.9,5.8,4.0,7.300000000000001,8.5,12.8,16.8,16.7,14.9,9.5,10.8,10.5,7.8,4.300000000000001,8.0,10.0,12.2,11.5,9.4
10,7.5,5.5,3.3,8.5,6.6,4.5,9.7,6.8999999999999995,4.1,1.9,0.0,4.0,5.8,9.2,10.399999999999999,14.7,18.7,18.599999999999998,16.799999999999997,11.399999999999999,12.7,12.399999999999999,9.7,6.199999999999999,9.899999999999999,11.899999999999999,14.099999999999998,13.399999999999999,11.299999999999999
11,11.5,9.5,7.3,12.4,10.5,8.4,13.600000000000001,10.8,8.0,5.8,4.0,0.0,1.8,5.4,6.6,12.399999999999999,19.3,19.3,20.700000000000003,7.6000000000000005,16.6,14.7,12.0,8.4,10.4,12.600000000000001,14.8,14.0,11.8
12,12.399999999999999,10.399999999999999,8.2,10.6,8.7,6.6,11.8,9.0,6.2,4.0,5.8,1.8,0.0,3.6,4.8,10.6,17.500000000000004,17.5,18.9,5.800000000000001,14.8,12.899999999999999,10.2,6.6,8.600000000000001,10.8,13.0,12.200000000000003,10.000000000000002
13,13.6,11.6,9.4,11.8,9.9,7.8,10.7,7.8999999999999995,5.1,7.3,9.2,5.4,3.6,0.0,1.2,7.0,13.900000000000002,13.9,15.700000000000001,2.2,11.600000000000001,9.3,6.6,3.0,5.0,7.2,9.4,8.600000000000001,6.4
14,14.799999999999999,12.799999999999999,10.6,13.0,11.1,9.0,11.900000000000002,9.100000000000001,6.300000000000001,8.5,10.4,6.6,4.8,1.2,0.0,5.8,15.0,15.100000000000001,16.9,3.4000000000000004,12.8,10.5,7.800000000000001,4.2,6.2,8.4,10.600000000000001,9.8,7.6
15,18.4,16.4,14.9,16.599999999999998,14.7,13.3,14.8,12.0,10.6,12.8,14.700000000000001,12.399999999999999,10.6,7.0,5.8,0.0,9.2,11.799999999999999,14.2,7.6,12.0,9.7,9.2,8.5,4.8,7.0,7.3999999999999995,5.6,3.4
16,16.2,16.2,18.200000000000003,14.399999999999999,14.5,16.6,12.1,11.8,14.600000000000001,16.8,18.7,19.3,17.5,13.899999999999999,15.0,9.2,0.0,2.6,5.0,11.7,9.1,9.399999999999999,9.0,12.6,8.9,6.8,7.1,5.3,7.5
17,13.600000000000001,15.4,17.400000000000002,11.8,13.700000000000001,15.8,9.5,11.7,14.5,16.7,18.599999999999998,19.3,17.5,13.899999999999999,15.099999999999998,11.799999999999999,2.6,0.0,2.4,11.7,6.5,6.8,8.9,12.5,8.9,6.7,4.5,6.3,8.5
18,11.2,12.999999999999998,14.999999999999998,9.399999999999999,11.299999999999999,13.399999999999999,7.1,9.899999999999999,12.7,14.899999999999999,16.799999999999997,20.7,18.9,15.7,16.9,14.2,5.0,2.4,0.0,14.100000000000001,4.1,6.3999999999999995,9.1,12.7,11.3,9.100000000000001,6.9,8.700000000000001,10.900000000000002
19,15.799999999999999,13.799999999999999,11.6,14.0,12.1,10.0,12.8,10.0,7.300000000000001,9.5,11.4,7.6000000000000005,5.800000000000001,2.2,3.4000000000000004,7.6,11.7,11.7,14.1,0.0,11.8,9.5,7.2,5.2,2.8,5.0,7.2,6.3999999999999995,4.199999999999999
20,7.1,8.899999999999999,10.899999999999999,5.3,7.199999999999999,9.299999999999999,3.0,5.8,8.6,10.8,12.700000000000001,16.6,14.8,11.6,12.799999999999999,12.0,9.1,6.5,4.1,11.8,0.0,2.3,5.0,8.6,9.0,6.8,4.6,6.3999999999999995,8.6
21,9.4,9.899999999999999,11.899999999999999,7.6,8.2,10.299999999999999,5.3,5.5,8.3,10.5,12.4,14.700000000000001,12.9,9.3,10.5,9.7,9.399999999999999,6.8,6.3999999999999995,9.5,2.3,0.0,2.7,6.300000000000001,6.7,4.5,2.3,4.1,6.3
22,9.2,7.2,9.2,7.4,5.5,7.6,5.6,2.8,5.6,7.8,9.7,12.0,10.2,6.6,7.8,9.200000000000001,9.0,8.9,9.1,7.2,5.0,2.7,0.0,3.6,4.4,2.2,4.4,3.7,5.800000000000001
23,10.6,8.6,6.4,8.8,6.9,4.800000000000001,7.7,4.9,2.1,4.300000000000001,6.200000000000001,8.4,6.6,3.0,4.2,8.5,12.6,12.5,12.700000000000001,5.2,8.600000000000001,6.300000000000001,3.6,0.0,3.7,5.800000000000001,8.0,7.3,5.1
24,13.6,11.6,10.1,11.8,9.9,8.5,10.0,7.2,5.800000000000001,8.0,9.9,10.4,8.6,5.0,6.2,4.8,8.9,8.9,11.3,2.8,9.0,6.7,4.4,3.7,0.0,2.2,4.4,3.6,1.4
25,11.4,9.4,11.4,9.6,7.7,9.8,7.8,5.0,7.8,10.0,11.9,12.600000000000001,10.8,7.2,8.4,7.0,6.8,6.7,9.1,5.0,6.8,4.5,2.2,5.800000000000001,2.2,0.0,2.2,1.5,3.6
26,11.7,11.6,13.6,9.899999999999999,9.9,12.0,7.6,7.2,10.0,12.2,14.1,14.8,13.0,9.4,10.6,7.4,7.1,4.5,6.9,7.2,4.6,2.3,4.4,8.0,4.4,2.2,0.0,1.8,4.0
27,12.899999999999999,10.899999999999999,12.899999999999999,11.1,9.2,11.299999999999999,9.3,6.5,9.3,11.5,13.4,14.000000000000002,12.200000000000001,8.600000000000001,9.8,5.6,5.3,6.3,8.7,6.4,6.3999999999999995,4.1,3.7,7.300000000000001,3.6,1.5,1.8,0.0,2.2
28,15.0,13.0,11.499999999999998,13.200000000000001,11.3,9.899999999999999,11.400000000000002,8.600000000000001,7.199999999999999,9.399999999999999,11.299999999999999,11.8,10.0,6.3999999999999995,7.6,3.4,7.5,8.5,10.9,4.199999999999999,8.6,6.3,5.800000000000001,5.1,1.4,3.6,4.0,2.2,0.0
